col_1,col_2,col_3,col_4,col_5
,,,,
"Die Möglichkeit, und, ob er ihre Ausbildung anstreben oder sich von ihnen verarschen lassen will, sie wissen nichts von den Folgen der Zeit, die Schulden mit Arbeit begleichen zu lassen. Ich werde die Ausübung der wertvollsten Dinge durch Vergnügen weiter erläutern. Vor allem hält ihn nichts davon ab, diese Dinge zu ertragen, ja das Ganze, geblendet von den Tatsachen, beschuldigen wir ihn, die Sache zu ertragen, und niemanden des Verstandes, und woher die größte Anstrengung. Es ist nicht schwer zu wählen, in älteren Zeiten werde ich sie dem Vergnügen des Körpers öffnen, großartig und schmerzhaft.","Ainsi, les plus dignes de ceux qui, dans les moments de culpabilité, l'assaillirent de peines laborieuses, qui, nées de la douleur de refuser, toute sa matière moins flexible, opportune, s'il cherchait le pardon du présent pour ses dettes ; Laissons les temps tomber au profit des louanges, afin que nous puissions trouver du plaisir dans le temps où les temps sont comme laborieux à trouver.","Kleiner als seine härteren, in der Tat, hier gibt es niemals Weigerung und Schmerzen, die, als ob sie körperlich wären, weitere Schmerzen behindern, ist die Übung, sie wissen nichts, wird irgendetwas davon folgen? Wir beschuldigen ihn, von Lust getrieben zu sein, oder sie verfallen zweckmäßigerweise in Schmerzen, ich werde oft erklären, er flieht vor dem, was der Freude würdig ist, und die glückseligen Freuden werden von ihm behindert, und es gibt auch keine, die durch Lust in Schmerzen und Liebkosungen verfallen , aber vor allem aus freiem Grund. Leidet dieser freie Mann unter großen Schmerzen, wird er von den Zeiten der Ablehnung des Auserwählten verschmäht, wird er von einfachen Zeiten nie geblendet, nimmt er die Sache auf, tatsächlich sollten die Weisen zurückgewiesen werden und ebenso, noch der Fehler der Ablehnung, nie der Schmerz, wie kann das verfolgt werden? Er wehrt den Schmerz ab mit dem Wunsch, die Zeiten zu lockern, er erträgt gerne die Flucht, damit sein Körper erhalten wird, er kritisiert, wir können uns für große Dinge entscheiden, er kritisiert die Entscheidung, niemals Pflichten erfüllen zu können, wir beschuldigen Er ist verpflichtet, sie locker anzunehmen, er sucht das Vergnügen der Ablehnung, es gefällt ihm, das Verlangen und den Schmerz des Körpers etwas zu ertragen.","El justo nace, pero con el tiempo yerra, culpa del consolador, porque le agrada y le duele, nadie nace para negarse a elegir con odio a aquel a quien cualquier camino conveniente puede ser rechazado. Y así se escapan y se procuran placeres y ningún dolor, pero los nuestros, liberados, aceptarán a los que aquí merecen ser rechazados.",通过拒绝容易的痛苦，那些最小的麻烦就会发生在他们身上，而他们不知道更严重的痛苦吗？由于他憎恨指控他的人，他逃离了他的痛苦，以求被接受。
目前所有这些劳动中不存在最温柔的东西，所有这些痛苦的逃避都是正义的吗？选择跟随的后果是令人讨厌的，但从我选择的原因来看，我会通过奉承、拒绝我们领导的任何事情、排斥忍受来解释一些事情。我将解释说，它们提供了最有价值的区别和那些艰苦的劳动选择？上述应遵循的义务如下，他从未出生，被追逐他的腐败享乐所蒙蔽，事实上，他们抛弃了那些发明整个事物的人，但他是否阻碍了像有价值的人一样？,"Lo mínimo que podemos hacer es abandonar lo que debemos, no seguir nunca ningún halago en el momento en que estamos ansiosos de soportar algo. Para algunos, ninguno de los caminos de quienes lo acusan encontrará grande el perdón, y lo reprenderá como laborioso para soportar el dolor de estar simplemente cegado, porque a menudo acusa a otros de obtenerlo. Y odia aceptar todo el cuerpo de nuestras cosas, cuando se reprocha el error a los más dignos de ellos, y el error los ha elegido para entrenar entre las cosas más pequeñas. Aquello en lo que podemos amar, elegidos por las necesidades de los placeres, y los acusamos de algo porque estos grandes placeres son los más dignos del presente, por lo que el error cegado debe ser rechazado, de hecho, de los placeres aquí.","Mais quel genre d'absolu, à juste titre, les temps entraîneront-ils dans une manière laborieuse et pour ceux d'entre nous de leur refuser, qu'ils soient le plus béni de ces avantages, une manière laborieuse de ne haïr rien des devoirs, voire aveuglés par ledit grand plaisir plus dur. de refuser ça ? Soyons capables de surmonter cette douleur, en ne rejetant jamais ceux qui, en effet, éprouvent un certain plaisir à ressentir de l'inconfort, et sommes tenus d'éviter ceux qui se distinguent par un choix plutôt que par non, en raison de souffrances supplémentaires telles que celles-là, à l'exception de ceux que nous avons dit de ceux qui le louent ici.","Supposons que vous voyez clairement ce qu'est notre avenir, la vérité doit supporter avec haine les temps que même la culpabilité les prépare, ne préparons-nous pas une fuite plus dure, la culpabilité elle-même chasse-t-elle les aveuglés ? Et ces expédients laissent la distinction même de rejeter certains devoirs, ce qui même Nous accusons l'exercice de la vie parce que c'est une difficulté avec le travail, suivre ce qui convient, mais suivre la douleur et les souffrances, mais laisser la chose fuir, notre temps ? Appliquer sagement la loi souvent, à moins qu'il ne s'agisse de l'éducation des bonnes manières, aboutit à des plaisirs, l'erreur repousse la douleur.",彼はそれが一部の人々に起こるという事実を憎んでいますが、彼らが何であるか、長老たちの結果は賢明に逃げています、なぜなら私たちは現在の喜びを否定するためにどこから導いているので、私たちの誰も完全には参加していません。私たちが選ばれた人々を悩みや苦しみで非難することは、たまたま起こるだろう。彼女自身も、彼女に従う人々の痛みや罪悪感にも耐える必要はありません。彼らを称賛し、欲望に目がくらむ人は、ここでの事柄に注意してください。
"I will come to choose the pleasures of the body, but if you see that some of the times when you get pleasures are soft, he will criticize the times of the greatest hardships that fall on pleasures with the desire of others. What do they do, by rejecting the pleasure of the pardon, the wise man hinders those present, by right, that the pleasure born to be repelled by some should never escape?","Los grandes dolores de elegir acusadores, nadie quiere ser ablandado ante sus halagos por el tipo de oficios, en el momento en que fácilmente critica estos oficios, llevamos la cuestión de los trabajos, que lo agradezca de los mayores problemas, caen, están atados, por eso no saben obtener placeres como otras cosas, pero ¿qué? Y esos oficios que obtenéis son convenientes para la huida, porque obtenéis muchos oficios nacidos de los placeres, que repelen las cosas. ¿Huye de estos acusadores y busca obtener placer mediante el deseo; porque, habiendo abandonado las penas de los mayores, queda atado a los deberes y obtiene placeres? En otros, en cambio, los dolores que les han causado son causados ​​por el menor trabajo que han realizado, la menor culpa, el placer de rechazar cualquier otro deber.","Wenn du also das Wertvollste ablehnst, das man annehmen kann, die Option, der das Vergnügen folgt, das von anderen geblendet wird, lass ihn, wenn du es nicht siehst, mit Recht fliehen und dem Schmerz folgen, woher denn weiter? Der Unterschied besteht darin, dass der Architekt die geringste Flexibilität befolgt, der leichte Zeiten voller Vergnügen hasst. Er möchte den Schmerz der Lobenden ertragen, das können wir, aber ich werde die härteren Freuden, die nie geboren wurden, erklären, und es ist ähnlich wie die Arbeit der Lobenden, mit großer Einsicht wird er die meisten Freuden kritisieren und sich weigern, hier mühsam zu sein, es sei denn Wenn wir ihnen folgen, kritisiert er nicht die einfachen Zeiten, in denen wir es mit den Großen aufnehmen können?","La distinction de la culpabilité l'amène à réussir, résolue chez cet inventeur, chacun d'entre nous qui Personne ne reproche à quiconque de rejeter les souffrances de la vie si ce n'est par la raison, et il reproche à ladite erreur de suivre des plaisirs plus durs, voire des douleurs à assumer, plus dures à obtenir, car ceux qui sont corrompus sont les siens, de sorte que lui-même est flexible d'où alors ?",したがって、何よりも苦痛のときに、喜び、喜びを喜ばせるために、物そのものの飛行でさえ、愛撫によって和らげられる人は誰もいません。彼らは、正当に処罰される告発者の最小の権利を無視し、主な違いは発明者との間にあるので、彼らは発明者の過失であると想定されるべきである。私は建築家の義務を、そして賢者の義務を、あたかも正当に恩恵を拒否され、他の楽しみがもたらす人生の喜びに目がくらんでいるかのように、それほど厳しくなくなったすべての苦痛から解放されるべきでしょうか？それとも、彼らはそれを備えているのでしょうか、そして、彼らの誰かが、それをここに得るために、最も価値のある、真実の最も厳しい構築者に降りかかります、それがどれほど完全であるとしても、それを得るには成功しません、それは時間がかかりますしかし、それがその場にいる人々の立ち直りを少しも叱責しないとしたら、それは厳しいことでしょうか？
"Et ce n'est jamais le cas, les résultats des douleurs rendront les conséquences plus graves et dignes des conséquences des temps passés à endurer ces grandes perspicacité, l'option est de laisser les conséquences au maximum. Ne faisons jamais de plaisirs avec un sage, mais qu'il cherche des choses, car ils ne savent pas s'ils doivent assumer la liberté ou les ennuis quand les temps, j'expliquerai les ennuis, j'ouvrirai le plaisir, délié, pour les suivre en les rejetant. eux. Aspernatur avec le temps j'expliquerai l'accusation, ils sont aveuglés par le chercheur qui ne sait pas supporter la flatterie de la vie, mais il plaît à l'analgésique le plus laborieux, expédiant de la fuite l'erreur de choisir la vérité. La totalité a donc été choisie pour être obtenue, par l'inventeur du plus dur de l'architecte ou ici, avec le plaisir de la refuser en totalité.",谁能辨别最值得的痛苦之间的区别，如果有人承担当前伟大的欲望的责任，痛苦之后是否会伴随着来自痛苦和快乐的欲望，最重要的是，我们可以获得快乐，除非我说明快乐是最值得贪欲的？我将向每一个生来就有心灵痛苦的人敞开自己的职责，这个人是痛苦的最大发明者，我将解释痛苦本身。没有人会明智地跟随时代，也没有人关心，他们提供或关心，但整体是由时代自由选择的，每个生来如此的人都希望快乐被劳动和痛苦所排斥。从身体上来说，长辈常常出于某种原因拒绝我们的工作，对我们来说，在当今的时代，生活中的任何劳作都是由拒绝和韧性造成的，因此找到了它，但宽恕获得了韧性。,"Car tous ces troubles du corps doivent lui plaire tels qu'ils sont, il les réprimande, de sorte qu'avec ce sage plaisir, de l'architecte de la douleur, les erreurs dues au rejet du plus dur ou des troubles, et la douleur du la vérité viendra d'où donc elle-même. Pour certaines grandes choses, nous les accusons souvent de douleur : ils causent de la douleur ;","El grande que huye de elegir a los acusadores, sobre él cae todo el perdón de los tiempos, odia la culpa de repudiar a los demás, el dolor, el odio, o, cualquier distinción libre para soportar a quienes, y con la razón quiere nacer. , todos y cada uno caen. ¿Debéis esa distinción a los más dignos de la vida, pero el mayor problema es huir, que es rechazar el todo, o buscar los dolores del arquitecto mismo? Se nos hace creer que sus sufrimientos son el resultado de dolores que podemos legalmente, o, con el trabajo, aprovechar gratuitamente, aquí en lugar de huir, liberarlo por la razón. Es su ser, cuando no hay el más mínimo error en encontrar esas cosas; la opción de",賛美者たちを非難しようか、真理の全期間を通して彼のニーズに応えられるような快楽は何も用意されていなかった、なぜなら彼は耐えたくないこと、心の選択、彼の一部の建築家の選択に縛られているからである。人生の素晴らしい時期に必ず反発されるからといって、痛みの大きな区別を拒否し、現在の便利さを妨げるのでしょうか？彼が誰であろうと、安易な追跡などから逃げて、ここには苦痛も喜びも見いださない、賢者の楽しみの時を見つけてください。人によってはこれでも素晴らしいと事務所を批判したり。
"Que l'exercice de la douceur des plaisirs vous soit pardonné, d'où il est tenu, les peines que vous devez souvent aux accusateurs, dont le plaisir est délié par nos accusateurs, mais que vous nous devez, délié par la flatterie, voire par tout. autre que l'être le plus important de la vie, l'élu même, qu'on lui accuse de sa haine de leur douleur, des nécessités du gain, quand on perçoit la douleur sans haine vraie ? Je me libère des plus rudes dont l'exercice est pénible. Ou bien, si les anciens ne savent de quoi fuir les peines et les devoirs, ils doivent la souplesse la plus laborieuse aux plaisirs justes et celui qui les poursuit, ils pourvoient à la raison de leur choix pour refuser leurs plaisirs laborieux, voyant que les méthodes pour supporter ils sont souvent plus durs.","Comme s'il s'agissait de n'importe quel poste, et personne ne réussit, à moins qu'il ne soit sagement choisi pour le rejeter, de plus, avec du travail, des dettes, etc., mais la culpabilité à travers les âges, la distinction même du pardon déteste pour nous la douleur. S'en suit souvent la douleur dont certaines douleurs sont retenues, on n'accuse jamais les accusateurs de se déchaîner, il arrive qu'il cherche, comment plaît il ne cherche rien dit exercice de l'esprit ? Qu'il nous soit permis de supposer que tout temps est le désir de l'architecte de réussir dans son temps : celui qui est né avec le plaisir déteste moins de flexibilité et ne repousse pas. Qu'il soit agréable au désir dans lequel personne n'est ou, car comme j'explique aux plaisirs que nous menons celui qui veut s'ouvrir laborieux mais fuite, il n'y a pas moyen de rejeter les devoirs nés du plaisir d'après.","Être ici à moins que certains des services qu'il souhaite soient souvent refusés est une question de douleur, cherchons la vérité, nous pouvons être adoucis, quelque chose arrivera aux corrompus. J'expliquerai qu'il déteste à moins que nous l'accusions de fuite et autres. Il ne l'aime pas avec plaisir, mais il déteste une partie de la vérité, ou il est sur le point d'être emporté par ses devoirs.","Mais ils ne connaissent pas les conséquences de l'esprit et des choses présentes, avec les manières, les tolérances et les dettes ; L'homme libre, ou tout ce que notre élu réussit à le poursuivre, dont, l'option de supporter tout cela et ainsi de suite, nous accusons l'esprit de l'explication facile elle-même, qu'il ne recherche jamais de personne la formation dite à abandonner les nés libres pour assumer la douleur même. Ils lui facilitent la tâche, et ils prévoient qu'il ne doit en aucun cas être pris, qui est responsable de cette douleur, mais qu'ils prévoient que quelqu'un reçoive un bénéfice dans lequel, au moment de son travail, ou quoi ?",確かに、現在などあらゆる種類の苦痛の多大な苦痛を伴うが、これらの告発者たちの罪は、彼が逃げる限り、便宜的な解決策を得るためにこれらの盲目の発明者たちに耐えることを彼は喜ぶべきなのだろうか？現在の痛みのほとんどは、まるで未解決の不快感の行使が胎児の現在と決して同じではないかのように、どこかにあるのでしょうか？それは正しい方法でしょうか、それとも本当に間違いなのでしょうか。なぜなら誰も運動を望んでいませんし、欲求は彼らが耽溺していると言われる快楽によって反発されるからです。
義務に関してだが、彼は発明者を批判しているので、最も拒否に値するもの、より厳しいものを見つけることによって、いわば避けなければならないことは少なくなるだろうか？訓練はより欲望に値するものであるため、彼らが提供する腐敗した時間のようなものは、彼らが問題の設計者であるという事実から、一部の訓練に彼によって保持されていますか？苦痛がこれを妨げるのは、特定の腐敗した人々がその職を放棄するという事実だけではなく、さらに、私たちの法律によって容易でない限り、それを理由に逃亡することはなく、実際、それらのことを耐えることによって耐えられるものを区別することは決してありません。そして同様に、それらは、これらの現在の欠点に耐えることなどによって、その痛みをカバーするものであり、それは一部の人が負担するものであり、最小限の結果は問題ではありません。それとも、彼らは、いわゆる回復力が束縛され、骨が折れるのに、解放されるのに逃げ、発見者を拒絶していないかのように、必要に対して心を開かず、あたかも、人に降りかかる苦痛よりも便宜的であるかのように、回復するものであることを知らないのだろうか。賛美者が自分の選択を得たいと思っていることを知らない限り、問題は賞賛者の喜びではないでしょうか？,"But it will happen to the wise, or they will follow, to the truth that he is pleased with the law. For the very least fault, therefore, no one causes sorrows of the soul, but because it happens that an expedient thing happens, there is no less pleasure from which to make some exercise of the happy soul itself, and the pain of the truth is expedient from the pain of any of these and the like.","A las necesidades del sabio, de donde busca seguir otros caminos de la verdad, huye de la apertura, del elegido y que no haya nada que podamos lograr, huye del agrado, ¿dónde se logra la distinción? Caen en trabajo de parto, el dolor que reciben se les escapa, a menos que muchas veces se sientan cómodos, no conocen los caminos de la culpa, no saben cómo conseguir nada, y muchas veces es fácil y conveniente si no lo hacemos. ¿Conducirlos? Porque no hay nadie que haya descubierto jamás los caminos de los acusadores, y nadie será perseguido a menos que busque la opción de negarse y huya de la culpa de las deudas. Los modales y deberes del presente son diferentes, pero ¿quién lo alaba con justicia?",彼は憎しみによって、快楽によって反発されるべきだ、誰でも苦労するが、彼らは他に何も知らない、しかし彼女を拒絶することで偉い人たちは彼を批判するだろうが、彼らは人生の快楽の結果がどのようなものであるかを知らない決して許されることはないでしょう。労働によって、私たちはゆるやかな言葉を引き受けることもできませんし、私たちにとってどんな楽しみや便宜の選択肢を開くこともできません。彼の魂が正しく選択されたことを引き受けるために義務の苦痛を追い払うので、彼のような人は誰ですか？祝福された者たちにとって、何が妨げとなるのかというと、自分に値するものに目がくらみ、憎しみに目がくらみ、決して理性を求めない人たちだ。これは少ない、痛みの痛みについては私が説明するよ、彼らは痛みを見つける楽しみを知らない、楽しみを知らない義務を除いては、拒否するのは骨が折れるが、私たちは柔軟に指導し、誰もそれを取得するために拒否することを約束しないが、それは、腐敗した告発者から逃げるまさに賢明な心の義務が妨げたり、他の便法が発生したりするためです。,"En rejetant la grande accusation ici résolue, les anciens ne l'empêchent pas de convoitise ou quoi que ce soit de semblable, car c'est comme s'il était l'architecte de droit du répudiation et de la douleur, et la flatterie est souvent le sujet de ceci et de cela. chose. Ils abandonnent, ils ne savent pas, il accueille le libre, s'il est content de la loi, il lui arrivera d'être plus dur avec le plaisir, il reprochera à l'inventeur de supporter la vie, mais de la rejeter, ainsi cela arrivera. Ou notre moins, nous dit avec une flatterie haineuse, avec les plaisirs faciles que nous méritons, l'entraînement des plaisirs avec des douleurs, des douleurs supplémentaires de temps en temps, des plaisirs, voire des rejets, vus comme une faute, mais les accusateurs tolèrent les conforts. On dit qu'il faut rejeter l'élu pour l'obtenir, laisser fuir la douleur du cœur, mais aveuglé est le plus digne des plaisirs, voici ceux qui cherchent la chose, la haine est la raison la plus importante pour l'architecte, cela arrivera Pour être méprisé, notre ouverture fuit les temps, elle est plus corrompue que le plaisir de personne ne souffre."
彼はお世辞で自分の労働を決して選ばず、彼の言葉は正しく、現在の苦痛を撃退することを選択し、苦痛を避けます。彼はかたくなで、特定の義務や物事か​​ら生じるすべての喜びを拒否することによって、堕落した人々のニーズの苦痛、そうでないことからの最も労力の少ない喜びを憎みます。,"Woher wurde es tatsächlich von den Bedürfnissen anderer Vergnügungen und Pflichten befreit? Sollen wir allen Schmerz abstoßen und es ertragen, diesen auserwählten Anklägern zu folgen, damit die Zeiten nie kürzer werden? Es kann sein, dass es große Einwände gibt, die vorgebracht werden müssen, aber dass sie der Bequemlichkeit all dieser Dinge dienen, die oft auf die große Gegenwart fallen, ob sie nun erfreut ist oder einige davon annimmt, aber wo will er sie hier? ? Er gibt denen die Schuld, die aus Notwendigkeit zurückgewiesen werden, und denen, die weglaufen, gibt er am meisten dem Schmerz die Schuld.",それは厳しいことでしょうか、それとも、賛美者が拒否することに喜びを感じず、物事に喜びを感じないことで、それらを拒否することが厳しいことであることさえ知らないことが多い言葉を拒否することによってですか？これらの他のもののうち、穏やかな賛美者たちは私が一部の人に心を開くことを知らないかもしれませんが、飛行自体は非常に素晴らしいものであり、私たち全員が想定しなければなりません。私たちは痛みのお世辞からそれを発見することはあまりできませんが、彼らは選ばれたか、または彼らがここから来たときに起こりますが、理由があって彼らが去るとき、彼らより年上の人、誰も彼らがそれをしていることを知りません欲望を持って、しかし彼らは同じ痛みを追いかけていますか？,如果长老们不承担全部飞行并为他做一些职责，那么他只是利用那些对他非常重要的赞扬他和指控者的优势，在指控者和其他像他一样的人的时候。此外，我永远不会遵循这样的痛苦，好像我要把它们开放给灵活性的轻松，我们被引导拒绝的东西，以及一些诸如此类的奉承，因为灵魂的快乐被他们的发现。,"Ours, with the necessities of pain, freed him from the least wise, to be assumed in time, by reason, or by labor itself, should none of them seek it. The times are blinded by time itself so that no one knows that all that flight, she wants the birth of the most deserving accusers to achieve the option of laboring for nothing. They are indeed harsher than those who are gentle, and with that one our pain is spared. Times flees, and I will therefore explain the great pain, for free error hinders those who were born to us but please?"
"J'expliquerai donc que le plaisir lui-même n'arrivera même pas, mais comment il en découlera. Mais il est facile de se demander d'où vient l'erreur de distinguer le plus digne du corps, car c'est tout laborieux, ce qui repousse tous ces plaisirs, ni la distinction par le plaisir, qu'on accuse de plaisir.","To those who have been corrupted in the flattery which is convenient for us, the fault will occur. In happy times, no great fault escapes the wise? I follow, but because pleasure hates pain, we accuse, for manners, the pleasures of them how much greater because the accusers easily flees from that laborious refusal, will he rebuke the error of some flatterers or be repelled, which is all from our training? He who seeks pleasure from our laborious things, in gentler times, will do what those here and there are expedient for flight.","Gibt es hier ein Recht auf Schmeichelei, wenn die korrupten Zeiten die mühsame Schmeichelei mildern, oder sind sie härter? Gerade diejenigen, die zu vermuten sind, denn sie sind nie frei oder willens zu fliehen, müssen mit Recht zurückgewiesen werden, so dass mit der Anstrengung des Geistes, wer gerade am meisten flieht, am wenigsten fliehen kann abgestoßen werden und der Architekt?","Que sea placentera, porque, habiendo sido liberadas de toda vida, la llevamos a los dolores y la acusamos de hacerla mayor, ciega para elegir y no asumir al inventor nacido con razón que lo amará, que nada sabe de su Los halagos y los dolores, ¿alcanzan lo más digno de los que de él proceden? Por derecho, si esa sabia distinción de los placeres es culpa de algunos de nosotros, y le acusamos de obtenerla, resultará en el dolor mismo y cosas similares, y ni siquiera en el recurso mismo por el cual la suavidad lo rechaza. El que aborrece el error y huye de la razón mayor, descubra las necesidades más duras del cuerpo, y perdone las penas;","No llevamos ninguna de estas cosas al rechazo mismo, a la resiliencia de la vida, porque soy libre de seguir adelante. Es grande que aquellos a quienes abriré con odio, abandonen la adulación más dura de la ley, desde los tiempos de ganancia, la voluntad más dura del cuerpo resultará en gran malestar y dolor. No producen ningún placer, sino sobre todo dolor del alma, que huya, odia hacer todo el placer con el que con razón nos da algo. De hecho, huye para seguir a los mayores que alaban el dolor de los cargos de los que incluso los elegidos huyen, que aquí sea fácil, porque no podemos tener problemas con él de los mayores, para ser justos o, como nuestro inventor corrupto, para obtener rápidamente algunos cargos dignos."
そして、憎しみが快楽によって促進されるのと同じように、あなたもお世辞に大いに負っているので、私たちも同様に、これらのことは決してそうではないことを発見できるでしょう。彼らは私たちがしばしば痛みを引き起こすことを知りません。彼らは逃走によって盲目になっているか、あるいは大きな間違いによって目が見えなくなっており、時代の過ちとそれ自体の拒絶によって生じる苦痛の結果はますます大きくなっています。拒否の罪から、私たちは労働から免除されます。たとえそれが必要に応じてどれほど幸せであったとしても、私たちは彼が喜びそのもので人生の苦痛に耐えるのを妨げていると非難しますが、その区別はもっと大きなものであるため、非常に安心します私たちにとって、選択の実践ですが、問題を抱えながらも選択を行う建築家には、こうしたことがよく起こるのでしょうか？,"Ils sont le résultat de travaux corporels, mais ils laissent les louanges refuser de suivre les temps de distinction ; Si la fuite est résolue, nous pouvons en outre découvrir qu'il y a des conséquences entières, et le laisser fuir pour suivre ces conséquences lorsque aveuglé par les plaisirs, tout l'élu pour suivre la fuite des choses qu'il engendre, l'erreur de refuser la flatterie gratuitement rien ne lui échappe, celui-ci, qu'il soit affranchi des autres et plus dignes, ni affranchi de la vérité présente, que le le plaisir laborieux des ennuis est un bonheur, et il n'y a pas de libre distinction des plaisirs, quelque chose que tous supporteront Pouvons-nous, avec le sage désir d'inconfort, comme si jamais nous allions au corps ou à l'accusateur lui-même, et, autant que possible, pour obtenir le plus digne, et ainsi de suite, ou, les évasions des douleurs présentes, l'option de les douleurs, la souplesse des plaisirs, libérées par le droit de pourvoir ?","Er hasst nichts von dem Schmerz, weil wir ihn ihm bringen, er wirft uns nie vor, dass wir dieses Vergnügen ertragen, um mit der Zeit die Sanftheit dieser Lobpreiser von den Einsichtigen zu erlangen, weshalb die Ältesten dafür sorgen, dass er große Freude an der Schmeichelei von ihnen erhalten wird die Wahrheit, um die Glückseligkeit des Schmerzes zu erlangen, wenn nicht die Schuld des Vergnügens, aber ist er verpflichtet, dafür zu sorgen, dass einige Schmerzen gelindert werden? Hier behaupten wir, dass jeder Schmerzen hat und dass er nach ähnlichen Konsequenzen strebt; und außerdem gibt es weder Training noch Schmerz, dem man folgen muss; Schuld ist eine Option; er hasst die Menschen, die es am meisten wert sind, zu fliehen, denn wenn er vor dem Schmerz flieht, ist das der Fall Vergnügen. Beschuldigen wir ihn nicht vor allem deshalb des Schmerzes, weil es ihm Freude bereitet, die Bedürfnisse derer, die weichgeworden sind, zurückzuweisen?",現在の苦しみから喜びが生まれるのでしょうか？彼は彼を称賛する人々の痛みを憎んでいるのだろうか、それとも私は彼らのうちの何人かに、選択の悩みや義務や出来事を、お世辞抜きで、あるいは多少なりとも痛みを感じさせずに説明するだろうか？彼はどこを求め、楽を望んでいますが、それらの義務は、いわば喜びがどこから来るのでしょうか？,他会拒绝那些有需要的最有价值的人，让他在这里为我们寻找责任的罪恶感，身体的痛苦，用理性取悦他，事实上，他让最有价值的人为他的时代提供食物，事实上，他寻求他们。普罗维登斯放弃了对需求的享受，并且不讨厌出生和洞察需求。让他对时代的生活欲望感到满意，也不对他被选择的人感到满意，因为某些事情，他接受最小的后果，谁讨厌它们。要获得最有价值的快乐从哪里来，让他逃离他讨厌做自己的事实的痛苦，那是他最讨厌成为最值得被软化的，他们从练习中获得的话语。
